Code,Party,Income level,GDP USD Mar 2025,Human Development Index 2022,Region Name,Sub-region Name,Least Developed Countries (LDC),Small Island Developing States (SIDS),OECD,Title,FileType,Language,Version,Status,SubmissionDate,EncodedAbsUrl,OriginalFilename,filename
FSM,Micronesia (Federated States of),Lower middle income,460000000,0.634,Oceania,Micronesia,0,1,0,Updated Nationally Determined Contribution of the Federated States of Micronesia,NDC,English,2,Active,2022-10-17,https://unfccc.int/sites/default/files/NDC/2022-10/Updated%20NDC%20of%20the%20MICRONESIA.pdf,Updated NDC of the MICRONESIA.pdf,Micronesia.txt
MCO,Monaco,High income,9995350547,#N/A,Europe,Western Europe,0,0,0,Monaco First NDC (Updated submission),NDC,French,2,Active,2020-12-28,https://unfccc.int/sites/default/files/NDC/2022-06/Monaco_NDC_2020.pdf,Monaco_NDC_2020.pdf,Monaco.txt
MNG,Mongolia,Upper middle income,20325121394,0.741,Asia,Eastern Asia,0,0,0,Mongolia First NDC (Updated submission),NDC,English,2,Active,2020-10-13,https://unfccc.int/sites/default/files/NDC/2022-06/First%20Submission%20of%20Mongolia%27s%20NDC.pdf,First Submission of Mongolia's NDC.pdf,Mongolia.txt
MNE,Montenegro,Upper middle income,7530593375,0.844,Europe,Southern Europe,0,0,0,Montenegro Third NDC,NDC,English,,Active,2025-02-21,https://unfccc.int/sites/default/files/2025-02/001_eng_NDC_Montenegro.pdf,001_eng_NDC_Montenegro.pdf,Montenegro.txt
MAR,Morocco,Lower middle income,144417103250,0.698,Africa,Northern Africa,0,0,0,Morocco First NDC (Updated submission),NDC,French,2,Active,2021-06-22,https://unfccc.int/sites/default/files/NDC/2022-06/Moroccan%20updated%20NDC%202021%20_Fr.pdf,Moroccan updated NDC 2021 _Fr.pdf,Morocco.txt
MOZ,Mozambique,Low income,20954220984,0.461,Africa,Sub-Saharan Africa,1,0,0,Mozambique First NDC (Updated submission),NDC,English,2,Active,2021-12-27,https://unfccc.int/sites/default/files/NDC/2022-06/NDC_EN_Final.pdf,NDC_EN_Final.pdf,Mozambique.txt
MMR,Myanmar,Lower middle income,66757619000,0.608,Asia,South-eastern Asia,1,0,0,Myanmar First NDC (Updated submission),NDC,English,2,Active,2021-08-03,https://unfccc.int/sites/default/files/NDC/2022-06/Myanmar%20Updated%20%20NDC%20July%202021.pdf,Myanmar Updated  NDC July 2021.pdf,Myanmar.txt
NAM,Namibia,Upper middle income,12351025067,0.610,Africa,Sub-Saharan Africa,0,0,0,NDC UPDATE,NDC,English,3,Active,2024-01-17,https://unfccc.int/sites/default/files/NDC/2024-01/FINAL%20UPDATED%20NAMIBIA%20NDC%202023.pdf,FINAL UPDATED NAMIBIA NDC 2023.pdf,Namibia.txt
NRU,Nauru,High income,154170289.3,0.696,Oceania,Micronesia,0,1,0,Nauru First NDC (Updated submission),NDC,English,2,Active,2021-10-14,https://unfccc.int/sites/default/files/NDC/2022-06/Nauru%20Updated%20NDC%20pdf.pdf,Nauru Updated NDC pdf.pdf,Nauru.txt
NPL,Nepal,Lower middle income,40908073367,0.601,Asia,Southern Asia,1,0,0,Nepal Second NDC,NDC,English,2,Active,2020-12-08,https://unfccc.int/sites/default/files/NDC/2022-06/Second%20Nationally%20Determined%20Contribution%20%28NDC%29%20-%202020.pdf,Second Nationally Determined Contribution (NDC) - 2020.pdf,Nepal.txt
NLD,Netherlands,High income,1154361305398,0.946,Europe,Western Europe,0,0,1,EU NDC 2023 update,NDC,English,3,Active,2023-10-19,https://unfccc.int/sites/default/files/NDC/2023-10/ES-2023-10-17%20EU%20submission%20NDC%20update.pdf,ES-2023-10-17 EU submission NDC update.pdf,Netherlands.txt
